RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,subsidies_package,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,IncomeDistribution,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
2,0,23,1000,80,harvey,watts_strogatz,2,436,59882077.92335147,63795436.76489408,5914379,5428401,Base,28023.45124317862,55792.96517802162,151586.06318943607,5.357675283084164,1.8979704651663112,1.7767478428482433
3,0,0,1000,80,harvey,watts_strogatz,3,0,0.0,77934590.60890113,0,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1,1000,80,harvey,watts_strogatz,3,146,0.0,75251981.11229694,177937,51083,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,2,1000,80,harvey,watts_strogatz,3,275,0.0,69831522.04732345,613324,91101,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,3,1000,80,harvey,watts_strogatz,3,369,0.0,64256395.164381064,1096230,100185,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,4,1000,80,harvey,watts_strogatz,3,418,0.0,60992711.04904316,1384314,105606,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,5,1000,80,harvey,watts_strogatz,3,442,0.0,58880509.71784124,1581013,242257,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,6,1000,80,harvey,watts_strogatz,3,455,0.0,58345779.404039875,1658458,314737,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,7,1000,80,harvey,watts_strogatz,3,468,0.0,57617595.09107183,1812658,600517,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,8,1000,80,harvey,watts_strogatz,3,475,0.0,57408868.67298614,1832288,603922,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,9,1000,80,harvey,watts_strogatz,3,481,0.0,57137435.05698527,1855238,603922,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,10,1000,80,harvey,watts_strogatz,3,498,0.0,56153637.90187354,2063528,1087207,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,11,1000,80,harvey,watts_strogatz,3,506,0.0,55712490.58935087,2175128,1336462,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,12,1000,80,harvey,watts_strogatz,3,514,0.0,54936216.64699157,2404448,1910227,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,13,1000,80,harvey,watts_strogatz,3,524,0.0,54268112.58625151,2686928,2522272,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,14,1000,80,harvey,watts_strogatz,3,529,0.0,53822841.529838204,2915978,2970652,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,15,1000,80,harvey,watts_strogatz,3,536,0.0,53162899.81667176,3068678,3378247,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,16,1000,80,harvey,watts_strogatz,3,539,0.0,52928003.66010096,3152888,3504337,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,17,1000,80,harvey,watts_strogatz,3,541,0.0,52683701.48308035,3287288,3655417,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,18,1000,80,harvey,watts_strogatz,3,545,0.0,52231926.74488511,3531488,3887407,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,19,1000,80,harvey,watts_strogatz,3,548,0.0,52002024.70692348,3653888,4063942,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,20,1000,80,harvey,watts_strogatz,3,551,0.0,51727336.92969449,3777788,4178227,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,21,1000,80,harvey,watts_strogatz,3,551,0.0,51727336.92969449,3777788,4178227,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,22,1000,80,harvey,watts_strogatz,3,554,0.0,51417134.22032579,3902588,4363477,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,23,1000,80,harvey,watts_strogatz,3,555,0.0,51386803.59299252,3917138,4405672,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,24,1000,80,harvey,watts_strogatz,3,556,0.0,51097743.54352041,4071038,4551877,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,25,1000,80,harvey,watts_strogatz,3,560,0.0,50323864.58906378,4426808,4882192,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,26,1000,80,harvey,watts_strogatz,3,561,0.0,50181082.29058127,4501208,4952872,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,27,1000,80,harvey,watts_strogatz,3,564,0.0,49914276.280468024,4646708,5091097,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,28,1000,80,harvey,watts_strogatz,3,569,0.0,49427485.40286323,4886528,5316817,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,29,1000,80,harvey,watts_strogatz,3,571,0.0,49277984.802223556,4944338,5368117,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,30,1000,80,harvey,watts_strogatz,3,574,0.0,48719137.46465177,5215988,5696092,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,31,1000,80,harvey,watts_strogatz,3,578,0.0,48310216.68462851,5450588,5918962,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,32,1000,80,harvey,watts_strogatz,3,580,0.0,48163030.155207306,5530688,6023722,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,33,1000,80,harvey,watts_strogatz,3,581,0.0,48013178.601741835,5607488,6096682,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,34,1000,80,harvey,watts_strogatz,3,584,0.0,47762835.151163556,5740838,6251152,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,35,1000,80,harvey,watts_strogatz,3,586,0.0,47482132.889689095,5891138,6393937,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,36,1000,80,harvey,watts_strogatz,3,589,0.0,47209049.61222587,6045788,6576832,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,37,1000,80,harvey,watts_strogatz,3,591,0.0,47010512.24290083,6143438,6702067,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,38,1000,80,harvey,watts_strogatz,3,592,0.0,46900486.16700119,6204038,6759637,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,39,1000,80,harvey,watts_strogatz,3,594,0.0,46588543.88429422,6377438,6924367,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,40,1000,80,harvey,watts_strogatz,3,595,0.0,46570797.39725287,6393788,6971782,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,41,1000,80,harvey,watts_strogatz,3,596,0.0,46521190.15423454,6420488,6997147,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,42,1000,80,harvey,watts_strogatz,3,597,0.0,46488474.45506064,6439088,7014817,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,43,1000,80,harvey,watts_strogatz,3,597,0.0,46488474.45506064,6439088,7014817,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,44,1000,80,harvey,watts_strogatz,3,597,0.0,46488474.45506064,6439088,7014817,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,45,1000,80,harvey,watts_strogatz,3,599,0.0,46238260.28645049,6571088,7140217,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,46,1000,80,harvey,watts_strogatz,3,600,0.0,46098334.03074894,6640388,7206052,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,47,1000,80,harvey,watts_strogatz,3,601,0.0,46053472.44417841,6680138,7321327,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,48,1000,80,harvey,watts_strogatz,3,601,0.0,46053472.44417841,6680138,7321327,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,49,1000,80,harvey,watts_strogatz,3,602,0.0,46029669.66688301,6692138,7332727,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,50,1000,80,harvey,watts_strogatz,3,602,0.0,46029669.66688301,6692138,7332727,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,51,1000,80,harvey,watts_strogatz,3,602,0.0,46029669.66688301,6692138,7332727,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,52,1000,80,harvey,watts_strogatz,3,604,0.0,45958359.18910109,6737588,7404277,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,53,1000,80,harvey,watts_strogatz,3,604,0.0,45958359.18910109,6737588,7404277,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,54,1000,80,harvey,watts_strogatz,3,605,0.0,45909525.45239751,6765488,7430782,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,55,1000,80,harvey,watts_strogatz,3,605,0.0,45909525.45239751,6765488,7430782,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,56,1000,80,harvey,watts_strogatz,3,605,0.0,45909525.45239751,6765488,7430782,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,57,1000,80,harvey,watts_strogatz,3,605,0.0,45909525.45239751,6765488,7430782,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,58,1000,80,harvey,watts_strogatz,3,607,0.0,45753325.78889595,6817388,7525132,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,59,1000,80,harvey,watts_strogatz,3,610,0.0,45484279.59079372,6958238,7706617,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,60,1000,80,harvey,watts_strogatz,3,610,0.0,45484279.59079372,6958238,7706617,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,61,1000,80,harvey,watts_strogatz,3,611,0.0,45423727.804955766,6989138,7735972,Base,0.0,0.0,0.0,0.0,0.0,0.0
3,0,62,1000,80,harvey,watts_strogatz,3,611,0.0,45423727.804955766,6989138,7735972,Base,0.0,0.0,0.0,0.0,0.0,0.0
