RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
0,0,14,1000,80,harvey,watts_strogatz,544,47097805.91478165,49720295.05504708,2075365,0,22715.367156944718,48211.89326800747,104519.74334157526,4.61295977193374,1.644534987747105,1.1997926185253103
2,0,31,1000,80,500yr,watts_strogatz,417,22227983.634489987,23794613.66803854,1844925,0,11900.9042686154,20983.90992710714,48968.95933147989,2.3515060832614907,0.7213971285659475,0.5433122606863917
1,0,48,1000,80,100yr,watts_strogatz,317,13728023.894181421,14806378.379490307,1600920,0,6638.366232531573,14334.35113025796,26910.397905262773,1.407223833163934,0.4769621124835222,0.30837411323811537
5,1,16,1000,80,500yr,watts_strogatz,384,20104363.72019318,21543211.174200032,1793980,0,7851.177011583251,20469.100864763088,49965.90912548236,1.5729704198761714,0.6807458565120098,0.5751586399960147
3,1,53,1000,80,harvey,watts_strogatz,589,47775091.03271407,50500096.938916534,4701615,0,26022.510914662827,45162.400865970056,109430.35193859712,5.342377761412271,1.5614522588012127,1.2548801465212955
7,2,4,1000,80,100yr,watts_strogatz,232,17681163.048062567,19033645.66957069,899765,0,10675.523766277112,18379.44577764894,30887.541170555938,2.0602406566054747,0.6173977337946218,0.3408682864686472
4,1,56,1000,80,100yr,watts_strogatz,294,18073964.539920803,19487044.08897559,2267040,0,6098.371040917833,16583.643084983963,48135.411610113915,1.2543306583740716,0.5588380518131566,0.561204828284409
6,2,27,1000,80,harvey,watts_strogatz,612,46712013.311875015,49139286.06760705,2871100,0,23791.097869466856,43939.926847329814,117803.04296425909,4.662987836056833,1.50162317737649,1.3676011536265056
9,3,47,1000,80,harvey,watts_strogatz,601,48227737.52221818,51049568.22660805,3984270,0,23998.331779401524,45125.539636129615,115224.24076686183,4.650886739512372,1.497138406920124,1.328827631650099
10,3,42,1000,80,100yr,watts_strogatz,290,16402613.99618372,17500766.088613838,1614855,0,6533.486061013369,14417.99876893979,48771.69035390385,1.3426641712052034,0.49129775684478616,0.5386908044296722
13,4,13,1000,80,100yr,watts_strogatz,336,15695877.998908512,16654990.529421652,1290100,0,8529.035308777955,14661.164248234547,39699.900199974334,1.6130258167747096,0.4982318510097791,0.434046255379496
8,2,80,1000,80,500yr,watts_strogatz,470,17543354.74322774,18572223.120061845,3030970,0,11162.626226315226,15350.10532433121,44386.98644544346,2.216608328055477,0.5195171204791813,0.49067465023893037
15,5,1,1000,80,harvey,watts_strogatz,162,68756165.46857512,72531477.6938322,216865,0,36550.90692553214,65677.36709339228,160588.82815785197,7.396962783639169,2.1973738860514422,1.8046156454356261
11,3,73,1000,80,500yr,watts_strogatz,405,16880518.427318327,18227727.518831316,3921295,0,8069.720120810972,17312.20066094704,37515.834009391154,1.6683109411111234,0.5784623694196905,0.4240130817842933
16,5,26,1000,80,100yr,watts_strogatz,295,16743571.780108452,18187852.49558508,1304275,0,8129.758744714693,17447.5814819181,36223.46288293963,1.5578222184352806,0.592634657080531,0.40006245048904404
12,4,62,1000,80,harvey,watts_strogatz,639,43227816.92247256,45562024.814335346,4918290,0,25637.860331460615,44302.77400818895,81897.98339407571,5.061446337794924,1.5346574210263004,0.9539869042878043
14,4,38,1000,80,500yr,watts_strogatz,358,19733336.576558203,21211471.895200815,2329695,0,10549.950803722226,19738.69031888456,43555.27398377683,2.0352621199084724,0.6705310849764888,0.5018295793183793
20,6,23,1000,80,500yr,watts_strogatz,401,20494777.212228473,22186215.74465619,1741695,0,9471.653274296013,19023.232741416003,50579.689775230334,1.8849317342118235,0.647605476039537,0.5711194317700994
17,5,53,1000,80,500yr,watts_strogatz,374,19942590.021347318,21059210.966451347,1795075,0,10699.051573718552,21594.99856969225,33646.37371518729,2.2430939930410627,0.7561951031939551,0.37031887726888957
22,7,3,1000,80,100yr,watts_strogatz,227,21198198.7484326,22823947.57435159,839905,0,15097.601364974564,21955.87634007885,34689.424369136555,3.0196520027802687,0.7506304286325781,0.39830482812122836
18,6,68,1000,80,harvey,watts_strogatz,590,46349726.922269836,49001375.223602906,4590020,0,22175.54027404897,46150.33072969026,118728.20150656391,4.463978702611746,1.558466199931818,1.3924717353859943
19,6,67,1000,80,100yr,watts_strogatz,305,13058166.548688745,14041759.162780046,2618660,0,6558.828110116744,14798.457774540899,19149.976343221584,1.2720307366177486,0.4947874043678993,0.20977946161050542
